CountryCode,Country,lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
174,Comoros,-11.875001,43.872219,18,19,20,20,21,21,22,23,24,24,25,26,27,27,28,29,30,30,31,32,33,34,34,35,36,36
178,Congo,-0.228021,15.827659,,,,,,,,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15
184,Cook Islands,-21.236736,-159.777671,,,,,,92,92,92,92,92,92,93,93,93,94,94,95,95,96,96,96,97,97,98,98,98
188,Costa Rica,9.748917,-83.753428,88,89,89,89,90,90,90,91,91,91,91,92,92,92,93,93,93,93,94,94,94,94,94,95,95,95
384,Cote d'Ivoire,7.539989,-5.54708,15,15,15,16,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23
191,Croatia,45.1,15.2,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
192,Cuba,21.521757,-77.781167,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,93,93
196,Cyprus,35.126413,33.429859,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
203,Czech Republic,49.817492,15.472962,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
180,Democratic Republic of the Congo,-4.038333,21.758664,19,19,19,19,20,20,21,21,22,22,23,23,24,24,24,25,25,26,26,26,27,27,28,28,28,29
208,Denmark,56.26392,9.501785,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,Djibouti,11.825138,42.590275,66,66,66,66,66,65,64,63,62,61,60,58,57,56,55,54,53,52,51,50,48,47,47,47,47,47
212,Dominica,15.414999,-61.370976,,,,,,81,81,81,81,81,81,81,81,81,81,81,81,81,,,,,,,,
214,Dominican Republic,18.735693,-70.162651,73,73,74,74,75,75,76,76,77,77,78,78,78,79,79,80,80,81,81,82,82,83,83,83,84,84
218,Ecuador,-1.831239,-78.183406,57,58,60,61,62,64,65,66,67,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,85
818,Egypt,26.820553,30.802498,73,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,95,95,95,95,95
222,El Salvador,13.794185,-88.89653,51,52,53,54,56,57,58,59,61,62,62,63,64,65,66,67,68,69,69,70,71,72,73,73,74,75
226,Equatorial Guinea,1.650801,10.267895,,,,,81,81,81,81,81,81,80,80,79,79,78,78,78,77,77,76,76,75,75,75,75,75
232,Eritrea,15.179384,39.782334,9,9,9,10,10,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,15,16,16
233,Estonia,58.595272,25.013607,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
231,Ethiopia,9.145,40.489673,3,3,3,3,3,3,3,5,6,7,9,10,11,13,14,15,17,18,19,20,22,23,24,26,27,28
234,Faeroe Islands,61.892635,-6.911806,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Falkland Islands (Malvinas),-51.796253,-59.523613,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,-16.578193,179.414413,57,59,61,63,65,66,68,70,71,73,75,76,78,79,81,82,84,85,87,88,90,91,91,91,91,91
246,Finland,61.92411,25.748151,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98
250,France,46.227638,2.213749,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
254,French Guiana,3.933889,-53.125782,,,76,76,76,77,77,78,79,80,81,82,83,84,85,87,88,89,90,91,92,92,92,92,92,
