CountryCode,Country,lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
626,Timor-Leste,-8.874217,125.727539,,,,,,37,37,37,37,37,37,37,38,38,38,38,38,38,39,39,39,40,40,40,40,41
768,Togo,8.619543,0.824782,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12
772,Tokelau,-8.967363,-171.855881,45,45,45,45,45,48,50,52,55,57,60,62,64,67,69,71,74,76,79,81,83,86,88,90,90,91
776,Tonga,-21.178986,-175.198242,94,94,94,94,94,94,94,93,93,93,93,93,93,93,92,92,92,92,92,92,92,91,91,91,91,91
780,Trinidad and Tobago,10.691803,-61.222503,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,92,92,92,92
788,Tunisia,33.886917,9.537499,73,74,75,76,77,78,79,79,80,81,82,83,83,84,85,86,86,87,88,88,89,90,90,91,92,92
792,Turkey,38.963745,35.243322,83,83,84,84,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95
795,Turkmenistan,38.969719,59.556278,,,,,62,62,62,62,62,62,62,62,62,63,63,63,63,,,,,,,,,
796,Turks and Caicos Islands,21.694025,-71.797928,,,,,,81,81,81,81,81,81,81,81,81,81,81,81,81,,,,,,,,
798,Tuvalu,-7.109535,177.64933,73,74,74,75,75,76,76,77,77,78,78,79,80,80,81,81,82,82,83,83,83,83,83,83,,
800,Uganda,1.373333,32.290275,13,14,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19
804,Ukraine,48.379433,31.16558,,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96
784,United Arab Emirates,23.424076,53.847818,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98
826,United Kingdom,55.378051,-3.435973,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
834,United Republic of Tanzania,-6.369028,34.888822,7,7,7,7,8,8,8,8,9,9,9,10,10,10,11,11,11,12,12,13,13,14,14,15,15,16
840,United States,37.09024,-95.712891,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
850,United States Virgin Islands,18.335765,-64.896335,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
858,Uruguay,-32.522779,-55.765835,92,92,92,92,92,92,93,93,93,93,94,94,94,94,94,95,95,95,95,95,96,96,96,96,96,96
860,Uzbekistan,41.377491,64.585262,84,84,84,84,83,85,86,87,88,90,91,92,93,95,96,97,99,100,100,100,100,100,100,100,100,100
548,Vanuatu,-15.376706,166.959158,,,35,36,36,36,36,37,39,40,42,43,45,46,48,49,51,52,54,55,56,58,58,58,58,58
862,Venezuela,6.42375,-66.58973,82,83,83,84,85,85,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,94,94,94
704,Viet Nam,14.058324,108.277199,36,38,40,41,43,45,46,48,50,51,53,55,56,58,60,61,63,65,66,68,70,71,73,75,76,78
732,Western Sahara,24.215527,-12.885834,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Yemen,15.552727,48.516388,24,25,27,29,30,32,33,35,36,38,39,41,43,44,46,47,49,50,52,52,53,53,53,,,
894,Zambia,-13.133897,27.849332,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,43,43,43,43,44,44,44
716,Zimbabwe,-19.015438,29.154857,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,38,38,38,38,38,38,37,37,37,37
